inchikey,std_smiles,pchembl_DprE1,pchembl_InhA,pchembl_KasA
AIKBIBDIKZRNKV-YVUAREEGSA-N,Cc1cccc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)COC12CCCC2,,10.0,
AIOBOFRJLHUCLQ-UHFFFAOYSA-N,O=C(NO)c1cccc(-c2cn(CCc3ccsc3)nn2)c1,,,7.0
AIPKOJRVUNXTEF-YFVDURBRSA-N,CNC(=O)[C@@H](NC(=O)[C@@](O)(CCCN(Cc1ccc(-c2ccc3c(c2)OCO3)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1)C(C)(C)C,,8.32,
AIUHSHXJFPMLPM-UHFFFAOYSA-N,O=C(CCCCCN1C(=O)c2cccc3c(N4CCOCC4)ccc(c23)C1=O)NO,,,5.74
AIVHKZVAUIOORN-SDNWHVSQSA-N,O=C(/C=C/c1ccc2c(c1)nc(CCc1ccccc1)n2Cc1ccccn1)NO,,,6.44
AIXBDINLSQYZGS-JWNVRJNBSA-N,CC1(C)C(=O)C(O)=C[C@]2(C)[C@H]3C(=O)C[C@@H]4[C@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,,4.8,
AJBSMEZQBMAOOG-UHFFFAOYSA-N,O=C(NO)c1cccc(C(=O)NCCc2cccnc2)c1,,,6.38
AJDJSFFTJNNUFB-UHFFFAOYSA-N,COc1cc(C(=O)c2csc(-c3ccc(NC(=O)c4ccc(C(=O)Nc5ccccc5N)cc4)cc3)n2)cc(OC)c1OC,,,5.68
AJJDNRDGKUPOJS-VNHOSUGBSA-N,CNC(=O)[C@@H](NC(=O)[C@@](CCCN(Cc1ccc(Br)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)(Cc1ccccc1)[Si](C)(C)C(C)(C)C)C(C)(C)C,,5.57,
AJKIUJAKGPSKCA-NPHQGNLKSA-N,COC(=O)N[C@H](C(=O)NN(CCC[C@@]1(Cc2ccccc2)C(=O)N([C@H]2c3ccccc3C[C@H]2O)C[C@H]1O)Cc1ccc(-c2cccnc2)cc1)C(C)(C)C,,8.28,
AJLGDOFQCAKQQI-UHFFFAOYSA-N,CNc1ccc(C(=O)NO)cc1,,,6.03
AJNNLZKHXZWPKZ-UHFFFAOYSA-N,OCc1cccc(NCc2ccc(-c3noc(C(F)(F)F)n3)cc2)c1,,,5.37
AJRGHIGYPXNABY-UHFFFAOYSA-N,COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1,,,7.83
AJWDVSJQPIRAKK-UHFFFAOYSA-N,C=Cc1cc[n+](C)cc1,,,5.47
AKIPPMWFUAJURU-CONSDPRKSA-N,COc1ccc(N(CC(=O)N[C@@H](Cc2ccccc2)[C@@H](O)CN(CC(C)C)S(=O)(=O)c2ccc(N)cc2)CC(=O)N(C)C)cc1,,5.16,
AKIPPMWFUAJURU-IOWSJCHKSA-N,COc1ccc(N(CC(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN(CC(C)C)S(=O)(=O)c2ccc(N)cc2)CC(=O)N(C)C)cc1,,6.85,
AKSVFMBZKMKUPQ-UHFFFAOYSA-N,O=C(NO)c1cccc(C(=O)NOCc2ccc(Cl)cc2Cl)c1,,,6.2
AKUHDMJRLNNWCE-PYWJFMQWSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2cccc(-c3cc(C)cc(C)c3)c2)NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)cc1,,9.35,
AKYCBNIQVBLKGV-UHFFFAOYSA-N,NC(=O)c1cccc(-c2cccn3c(C(Cc4ccccc4)C(=O)NO)cnc23)c1,,,6.43
ALKCMJANKHXUHY-UHFFFAOYSA-N,CC(C(=O)N(Cc1ccc(-c2noc(C(F)(F)F)n2)cn1)c1cccc(F)c1)n1cccn1,,,5.8
