inchikey,std_smiles,pchembl_DprE1,pchembl_InhA,pchembl_KasA
LRACOFKZUYQOAU-UHFFFAOYSA-N,Cc1nccnc1C(=O)N(Cc1ccc(-c2noc(C(F)(F)F)n2)cn1)c1cccc(F)c1,,,5.51
LRBLAZMIPWGTAW-ZLXMBHDQSA-N,CCOc1cc(/C=C2/C(=O)NCC(=O)N2C)ccc1/C=C/C(=O)NO,,,7.88
LRBWQUWEXVLAOU-UHFFFAOYSA-N,O=C(NO)c1ccc(Cl)c(NC(=O)c2cccc(OCc3ccccc3)c2)c1,,,6.67
LRCRGQGQPJCACO-UHFFFAOYSA-N,CC(=O)N1CCN(CC(=O)N(Cc2ccc(-c3noc(C(F)(F)F)n3)cc2)c2cccc(C(F)(F)F)c2)CC1,,,5.58
LRIIAFNAXQSTDT-CSKARUKUSA-N,COc1ccc(-c2ncc(/C=C/C(=O)Nc3ccccc3N)s2)cc1OC,,,4.94
LRJJCTWUQYGWKH-AWEZNQCLSA-N,CC1(C)CCCN1C(=O)[C@@H]1CCC(=O)N1c1ccc(-c2noc(C(F)(F)F)n2)c(F)c1,,,4.6
LSIQXKFKAGUGRH-MNSNGNIESA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3CO[C@H]4OCC[C@@H]2[C@@H]34)cc1,,10.35,
LSKAICRTMVFZOZ-FMDFGENTSA-N,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1/C=C/C(=O)Nc1ccccc1N,,,5.96
LSTFVBNUFICPCC-NJVHYIPRSA-N,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1)c1cc(-c2ccccc2)cs1,,5.82,
LSUMFFKZSHRRLY-UHFFFAOYSA-N,Nc1cc(Cl)ccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,,,4.4
LSVAGRSGVQDPQQ-UHFFFAOYSA-N,O=C(NO)c1ccc(CN(Cc2ccccn2)S(=O)(=O)c2cc(F)c(F)c(F)c2F)cc1,,,6.48
LSWUBDMWMICQIZ-UHFFFAOYSA-N,O=C(NO)c1ccc2c(c1)CC(Nc1nccc(-c3cnc4ccccc4c3)n1)CC2,,,6.32
LSZMUYMJVQRHOS-LOSJGSFVSA-N,Cc1ncnc2c1ncn2CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CC(C)C)S(=O)(=O)c1ccc(N)cc1,,5.42,
LTEKWTQYUHJKRJ-VWLOTQADSA-N,CCc1ccc(C#Cc2c(-c3ccccc3)nnn2[C@@H](Cc2ccccc2)C(=O)NO)cc1,,,5.82
LTGGLOIVZJRPDI-UHFFFAOYSA-N,CN1CCN(CCNC(=O)c2ccc(C(=O)NO)cc2)CC1,,,4.68
LTLUWDAHYGIOHS-ZLBJCVPKSA-N,COc1ccc2c(c1)OCCCCCCCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]3OCC[C@H]31)S2(=O)=O,,10.77,
LUBGHYJLVUIGOO-ZVHZXABRSA-N,O=C1NC(=O)/C(=C\c2ccc(OCC(=O)N3N=C(c4ccccc4)CC3c3ccccc3Cl)cc2)S1,,,4.54
LUNQBTNSZPRPNJ-PKNBQFBNSA-N,CCCOc1ccc(/C=C/C(=O)NO)c(-c2ccccc2)c1,,,6.88
LUOJPVWKDGFANM-UHFFFAOYSA-N,CCOC(=O)NC(=O)c1ccsc1NC(=O)c1ccn2cnnc2c1,7.22,,
LUPYACIUYLGDJP-ATRICVITSA-N,C[C@@]12CSC(=N1)c1csc(n1)CNC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](CCCCNC(=O)O[C@@H]1CC/C=C/CCC1)NC2=O,,,5.95
LUTFGXARJQOWLQ-UHFFFAOYSA-N,O=C(CCCCCONC(=O)c1cnc2ccccc2n1)NO,,,5.1
LUTGPKYBTPTJKM-SYZQJQIISA-N,CS(=O)(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCC(C(=O)Nc5ccc(/C=C/C(=O)NO)cc5)CC4)cc3)n2)cc1,,,5.22
LUTWJTPWFDIFQQ-UHFFFAOYSA-N,FC(F)(F)c1nc(-c2ccc(CNCC3CN(Cc4ccccc4)CCO3)nc2)no1,,,5.72
LVBJLNXVNGDXNM-RPBOFIJWSA-N,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC)CC2)c1ncc(-c2cc3cn(C)nc3cc2OC)[nH]1,,,5.51
LVDUGYSBGLMRET-UHFFFAOYSA-N,Cc1cc2cc(NS(=O)(=O)c3cc(C(=O)NO)ccc3Cl)ccc2n(C)c1=O,,,6.25
LVDVGDFZDSDMLB-UHFFFAOYSA-N,O=C1CCc2ccc(F)cc2N1Cc1ccc(-c2noc(C(F)(F)F)n2)cc1,,,5.75
LVGQOPBKJFQMDN-UHFFFAOYSA-N,FC(F)(F)c1nc(-c2ccc(CNc3cc4ccccn4n3)nc2)no1,,,5.75
LVSMNYAHXJXKTD-UHFFFAOYSA-N,CC(Oc1nccc(-c2noc(C(F)(F)F)n2)c1Cl)c1cccnc1,,,5.64
LVSYGMOPBBVUQW-YJGSTAOUSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1C[C@H]2CO[C@H]3OC1C[C@@H]23)S(=O)(=O)c1ccc2nc(NC(C)C)oc2c1,,10.33,
LVVLIGYGORJCSS-UHFFFAOYSA-N,O=CN(O)CCCCCC(C(=O)Nc1cnc2ccccc2c1)C(=O)Nc1cnc2ccccc2c1,,,6.16
LVYWRPFTLAPKGB-VSIFMREISA-N,CN1C(=O)CNC(=O)/C1=C/c1ccc(-c2ccc(/C=C/C(=O)NO)cc2)cc1,,,6.51
LVZVYZDBEMTWLF-GCLVVOTRSA-N,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1cc2ccccc2s1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,,9.22,
LVZXFOGLYILNFL-OARDWFSCSA-N,COC(=O)N[C@H](C(=O)Nc1ccccc1CC[C@@H]1CN[C@H](COC(N)=O)CO1)C(c1ccccc1)c1ccccc1,,7.7,
LWXNVKYRDMMGBS-UHFFFAOYSA-N,Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,,,6.28
LXODKNHJOXPHBB-UHFFFAOYSA-N,O=C(NO)C(Cc1ccccc1)n1cc2cccc(CN3CCOCC3)c2n1,,,6.43
LXUDZYCOGQLEHS-UHFFFAOYSA-N,O=C(O)c1cccc(-c2ccc(C3(C(=O)Nc4ccc(C(=O)NO)cc4)CCCC3)cc2)c1,,,6.93
LXUOJZKROYWPPV-UHFFFAOYSA-N,COc1cc(C(=O)c2csc(-c3ccc(NC(=O)CCCC(=O)Nc4ccccc4N)cc3)n2)cc(OC)c1OC,,,4.93
LXWSZVNQFCAZKP-KLGVQLDVSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OC[C@H](OCc3ccccc3)[C@H]21)S(=O)(=O)c1ccc(N)cc1,,8.46,
LXWYRQJNEXQFOY-OUKQBFOZSA-N,CCN(CC)CCn1c(-c2cccc(/C=C/C(=O)NO)c2)nc2ccccc21,,,7.2
LYCCCRFBRDLGGA-UHFFFAOYSA-N,CN(C)Cc1cn(Cc2ccc(C(=O)NO)cc2)c2ccccc12,,,6.4
LYQRBPKRGYGRBC-ZIAGYGMSSA-N,O=C(NO)C1[C@H](c2ccccc2)[C@H]1c1ccccc1,,,5.37
LYRGQYWDWZHBQJ-UHFFFAOYSA-N,CNc1ccc(CCn2c(=O)c3ccccc3n(Cc3ccc(C(=O)NO)cc3)c2=O)cc1,,,5.85
LYWPHBLBRYXQSJ-UHFFFAOYSA-N,NC(=O)c1ccc2c(c1)CCCCN2Cc1ccc(C(=O)NO)cc1,,,5.97
LYXFZOVHSVAQQN-LLVKDONJSA-N,Cc1noc([C@H]2CCCCN2c2ccc(-c3noc(C(F)(F)F)n3)cn2)n1,,,5.92
LYXFZOVHSVAQQN-NSHDSACASA-N,Cc1noc([C@@H]2CCCCN2c2ccc(-c3noc(C(F)(F)F)n3)cn2)n1,,,6.0
LYXOBSREVZDKST-UHFFFAOYSA-N,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCC(=O)NO,,,5.05
LZDVZSHIAKMDMZ-UHFFFAOYSA-N,COc1ccc(-c2cc(-c3ccn(Cc4ccc(C(=O)NO)cc4)n3)ccn2)cc1,,,7.38
LZFRGGLRIPWNJS-IZZDOVSWSA-N,COc1ccc(NC(=O)NOCc2ccc(/C=C/C(=O)NO)cc2)cc1,,,5.38
LZJOGRNDENREKS-WUNLWTINSA-N,CC(C)[C@H](NC(=O)N(C)Cc1cncs1)C(=O)N[C@H](CC[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1,,6.41,
LZODJSNRNSCPJV-KBPBESRZSA-N,O=C1C[C@@H](C(=O)N[C@@H](CCCCCS)C(=O)Nc2ccccc2)N1,,,7.21
LZQLHQNNAVPNSB-UHFFFAOYSA-N,O=C(CCCCCN(CCCc1ccccc1)C(=O)NC(=O)c1ccccc1)NO,,,6.48
LZQWFCVURBGBJM-UHFFFAOYSA-N,COc1cc(C(=O)c2csc(-c3ccc(NCC(=O)Nc4ccccc4N)cc3)n2)cc(OC)c1OC,,,5.04
LZSHDMJZIRLVAP-UHFFFAOYSA-N,CCSC(=S)SCC(=O)c1ccc(OC)cc1,,,4.8
MAAPIYPCXMEMAV-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)cccc1O,,,8.27
MABBOOSTBYKIJW-UHFFFAOYSA-N,COc1ccc(C(=O)NO)cc1OCc1ccc(Cl)cc1Cl,,,6.08
MABKAOVZWFZNRN-UHFFFAOYSA-N,O=C(NO)C(Cc1ccccc1)n1cc2ccnc(Cl)c2n1,,,6.43
MACOGNPWIRDMTD-FQEVSTJZSA-N,O=C(NO)[C@H](Cc1ccccc1)n1nnc(-c2cccc(Cl)c2)c1C#CC1CC1,,,8.1
MAEKVVCEBJELGT-UHFFFAOYSA-N,CCCNNC(=O)c1cnc(N2CCN(Cc3c[nH]c4ccccc34)CC2)nc1,,,8.175
MAIAQNBLEGJEJE-UHFFFAOYSA-N,CC(C)c1ccc(-c2cc3ccc(C(=O)NO)cc3s2)cc1,,,5.96
MARYDOMJDFATPK-UHFFFAOYSA-N,Oc1ccc[nH]c1=S,,,5.43
MAUCONCHVWBMHK-UHFFFAOYSA-N,CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)NO)cc2)oc2ccccc12,,,6.55
MAUHIMNCPWDQKJ-VNNZRSTGSA-N,CC(C)C[C@H]1CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCCC(=O)O)C(=O)N[C@@H](Cc2cccc3ccccc23)C(=O)N1,,,6.22
MBBFOXJTFYTKRV-LOSJGSFVSA-N,CCCCCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCCN1CCNC1=O)S(=O)(=O)c1ccc2ncsc2c1,,9.66,
MBFRACIBROUAEV-UHFFFAOYSA-N,COc1cc(C(=O)c2csc(-c3ccc(NC(=O)CCCCCC(=O)NO)cc3)n2)cc(OC)c1OC,,,5.38
MBPVFPIZRUCPSP-UHFFFAOYSA-N,O=C(NO)c1ccc2c(c1)CC(Nc1nccc(-c3ccc4ccccc4c3)n1)CC2,,,5.42
MCAFOYSTIYKTMO-UHFFFAOYSA-N,O=C(NO)c1ccc(CN2c3ccncc3Sc3ncccc32)cc1,,,5.7
MCBLTIJBXHJWBL-UHFFFAOYSA-N,O=C(CCCCNC(=O)c1cc(-c2ccccc2)on1)NO,,,5.45
MCFYAJCOYWLLEO-YGMVDIOKSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2C[C@H]3OC(=O)N(c4ccccc4)[C@H]3C2)cc1,,9.48,
MCGUXOJCMTXXSP-UHFFFAOYSA-N,Cc1n[nH]c2ccc(CN3C(=O)N(Cc4ccc5[nH]nc(C)c5c4)C(Cc4ccccc4)C(O)C3CCc3ccccc3)cc12,,10.0,
MCVBYWZUEUNVKU-AATRIKPKSA-N,O=C(NO)c1ccc(/C=C/c2ccnc(-c3ccccc3O)c2)cc1,,,5.33
MDBJNTLRZQOPRO-UHFFFAOYSA-N,N/C(=N\O)c1ccc(-c2ccc3nn(C(Cc4ccccc4)C(=O)NO)cc3c2)cc1,,,6.9
MDCKZAKVNQPMGB-UHFFFAOYSA-N,O=C(CCCCCONC(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)NO,,,5.31
MDMPBNMCGNGWFH-UHFFFAOYSA-N,O=C(NO)c1ccc2nc(-c3ccc(-c4ccc(CN5CCOCC5)cc4)cc3)[nH]c2c1,,,7.1
MDNTWQYQXCMZIS-MVSXCLQGSA-N,Cc1c(O)cccc1C(=O)N[C@@H](c1cccs1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,,4.52,
MDQVOCYXLZNNTB-UHFFFAOYSA-N,O=C(NO)c1ccc(Cn2c(=O)[nH]c(=O)c3cc(F)ccc32)cc1,,,6.65
MDTWRJDWPUJHKT-CSKARUKUSA-N,Cc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1-c1ccccc1,,,5.609999999999999
MDVLHAUUYXEDGR-UHFFFAOYSA-N,CC(C)(C)C(=O)N1CCc2cc(C(=O)NO)ccc2C1,,,5.68
MDWBJFGCVLUCHD-VAWYXSNFSA-N,Cc1nc(-c2cccc(/C=C/C(=O)NO)c2)n(CCc2ccccc2)c1C,,,7.51
MDZKJHQSJHYOHJ-LLICELPBSA-N,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,,4.2,
MEBKIEPFQXEEGQ-YBFXNURJSA-N,O=C(COc1ccc2cc(/C=C3/SC(=O)NC3=O)ccc2c1)Nc1ccccc1,,,5.35
MEJLVLMAJJRLCR-GCCNXGTGSA-N,C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,,,7.59
MEJRAHCJERXHEQ-FHWLQOOXSA-N,COC(=O)[C@@H]1Cc2cccc(c2)C[C@H](NC(C)=O)C(=O)N[C@@H](CCCCCC(=O)NO)C(=O)N1,,,7.455
MENYNRNBUGXEJK-UHFFFAOYSA-N,O=C(CCCCN(Cc1ccccc1)Cc1ccccc1)NO,,,5.72
METSSQKZXBWPMT-VZUCSPMQSA-N,COc1ccc(OCCCOc2cc(OC)ccc2/C=C/C(=O)NO)cc1,,,6.95
MEUDKJKEPABUEC-UHFFFAOYSA-N,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(CC(O)c3cccc(Br)c3)nn2)c1)NO,,,6.36
MEWAZRJLRMEJDV-FWGCVNADSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)n2cc(COC(=O)N[C@H]3c4ccccc4C[C@H]3O)nn2)cc1,,8.22,
MEWAZRJLRMEJDV-FYZVQMPESA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@H](O)[C@@H](Cc2ccccc2)n2cc(COC(=O)N[C@H]3c4ccccc4C[C@H]3O)nn2)cc1,,8.77,
MEWDNULKAXEKII-UHFFFAOYSA-N,O=C(NO)c1ccc(CN(Cc2nnnn2Cc2ccccc2)C(=O)c2ccccc2C(F)(F)F)cc1,,,4.83
MFAQYRQLOFFENO-UHFFFAOYSA-N,Cc1ccc(-c2noc(CCCCCCC(=O)C(F)(F)F)n2)cc1,,,5.5
MFBMCMRHCAIRCC-VOIOCNMVSA-N,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)COc1c(C)cccc1C,,7.55,
MFCZMIAQLCAWEQ-KRWDZBQOSA-N,COc1ccc(NC(=O)[C@@H]2Cc3ccc(OCC(=O)NO)cc3CN2)cc1,,,5.25
MFFAEZWLWWZBNA-UHFFFAOYSA-N,COc1ccc2c(c1)c1c(n2Cc2ccc(C(=O)NO)cc2)CN2CC1C(=O)N(C)C2,,,6.52
MFHBURXYKYRTQG-XZOQPEGZSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)Cn1cnc2c(N)ncnc21)S(=O)(=O)c1ccc(N)cc1,,5.91,
MFKWDGAIRDGDTG-UHFFFAOYSA-N,Cc1ccc(NC(=O)CN(CCCCCC(=O)NO)C(=O)c2ccc(N(C)C)cc2)cc1,,,5.17
MFTCZAFDVUPIEN-ZUDBCOMGSA-N,CC1(C)CC[C@]2(C(=O)NCCCC(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CCC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,,4.75,
MFURNFAEMKSLIT-UHFFFAOYSA-N,CCCCCCNNC(=O)c1cnc(N2CCN(CCc3c[nH]c4ccccc34)CC2)nc1,,,7.89
MGFVBQGVHXKXEE-UHFFFAOYSA-N,O=S(=O)(c1ccccc1)N(CCCNCCN(Cc1ccccc1)S(=O)(=O)c1ccccc1)Cc1ccccc1,,4.85,
MGGQEULGVBEMAL-XCVCLJGOSA-N,O=C(/C=C/c1ccc(-c2ccc(O)cc2)cc1)NO,,,6.51
MGIATOVLCOCJOP-NSCUHMNNSA-N,Cn1cc(C(=O)Cl)cc1/C=C/C(=O)NO,,,5.01
MGLXIWGBYYVPLQ-UHFFFAOYSA-N,COc1ccc(Cn2ccc3ccc(CC(=O)NO)cc32)cc1,,,5.31
MGPBURRMQUQIAY-XQKZFRNSSA-N,Cc1cccc(C)c1CNC(=O)[C@@H]1CCN1C(=O)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,,7.05,
MGPSFMYVFDFUJS-UHFFFAOYSA-N,CN(c1ccc(OCCCC(=O)NO)cc1)c1ncnc2ccccc12,,,5.61
MGQNCDAKIPFMLZ-UHFFFAOYSA-N,CCCCS(=O)(=O)N1CCN(c2nc(=O)c3cc(S(C)(=O)=O)cc([N+](=O)[O-])c3s2)CC1,5.85,,
MGQNDCLRBRJWCR-UHFFFAOYSA-N,O=C1CCC(c2ccccc2Cl)N1c1ccc(-c2noc(C(F)(F)F)n2)cc1F,,,5.51
MGQXCWPDPCCUML-MRVPVSSYSA-N,COc1ccc(-c2nnc(CNC(=O)[C@@H](C)N)o2)cc1,,,6.82
MGRIYEROULYODG-UHFFFAOYSA-N,Cn1cc[n+](C)c1I,,,5.75
MGTSWHRDCCTTRK-UHFFFAOYSA-N,Cc1cc(Cl)ccc1-c1ccnc(NC2CCc3ccc(C(=O)NO)cc3C2)n1,,,5.67
MGZFVPBQDNNWCX-UHFFFAOYSA-N,O=C1NCCc2c(OCc3ccc(-c4noc(C(F)(F)F)n4)c(F)c3)cccc21,,,4.35
MGZXYPCLDJVRER-UHSQPCAPSA-N,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2ccc3nc(C4CC4)ccc3c2)[nH]1,,,5.27
MHAVMNJPXLZEIG-RVWRPQLWSA-N,C=C(C)[C@@H]1CC[C@]2(C=O)CC[C@]3(C)[C@@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,,4.5,
MHGBLDSGEWNJBO-NRFANRHFSA-N,CC(C)(C)OC(=O)CC[C@@H]1N=C(c2ccccc2)c2ccccc2N(CCCCC(=O)NO)C1=O,,,4.58
MHKHGVSRGWQPII-UHFFFAOYSA-N,O=C(CS)NCCCCCn1ccc2cc(Cl)c(Cl)cc21,,,4.925
MHLJDVDSEAUVCD-YPKPFQOOSA-N,O=C1N=C(Nc2ccc(O)cc2)S/C1=C1\C(=O)Nc2ccccc21,,4.85,
MHLVDKMRDDJFBG-UHFFFAOYSA-N,N#Cc1cccc(CN2C(=O)N(Cc3cccc(C#N)c3)C(Cc3ccccc3)C(O)C2CCc2ccccc2)c1,,7.96,
MHNICVIDZOWYFE-UHFFFAOYSA-N,COC(=O)c1ccc2ccccc2c1OCCCCCCCC(=O)NO,,,5.8
MHNJFYNTZCXCAI-FMIVXFBMSA-N,CN(CCOc1no[n+]([O-])c1S(=O)(=O)c1ccccc1)C(=O)c1ccc(/C=C/C(=O)NO)cc1,,,6.58
MHQIQCUFEVLABP-GNISGLHKSA-N,CCN1CCC[C@@H](n2c(C)nc(C)c2-c2cccc(/C=C/C(=O)NO)c2)C1,,,6.3
MIJYXULNPSFWEK-GTOFXWBISA-N,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,,4.24,
MISHWPFFOCPKMH-DZKIICNBSA-N,CC[C@H](C)[C@H](N)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2,,,5.97
MIXOCOJVVUYECQ-UHFFFAOYSA-N,Nc1ccc(F)cc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,,,5.22
MJQFBKVHNOYSSQ-HNNXBMFYSA-N,O=C1COC[C@@H](c2ccccc2)N1c1cc(F)c(-c2noc(C(F)(F)F)n2)cc1F,,,4.92
MJRAWABZLHXTMT-UHFFFAOYSA-N,O=C(NO)c1ccc(CN2C(=O)CCCc3cc(Cl)ccc32)cc1,,,5.93
MJRWUUWLMYRYBZ-HIXSDJFHSA-N,COc1ccc(C(=O)NO)cc1NC(=O)c1cccc2c1/C(=N/O)c1ccccc1-2,,,6.82
MJXZGOILTUBEPA-ZDUSSCGKSA-N,O=C1CC[C@@H](c2ccccc2)N1c1ccc(-c2noc(C(F)(F)F)n2)cn1,,,5.62
MKAPYOQJFUDCSO-XFUVAFNSSA-N,CC(C)[C@H](NC(=O)COc1cccc2ccccc12)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)COc1cccc2ccccc12)C(C)C,,7.42,
MKDINMGNVYRRIB-LFIBNONCSA-N,O=C(/C=C/c1ccc(C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)Nc2ccc3ccccc3c2)cc1)NO,,,7.18
MKMZJKFJHZVYQT-UHFFFAOYSA-N,O=C(NO)c1ccc(CN2c3ccccc3Sc3ccccc32)cc1,,,5.83
MKNSRMBCTPCUPP-WYMPLXKRSA-N,O=C1NC(=O)/C(=C\c2ccc(OCC(=O)N3N=C(c4ccccc4)CC3c3ccc(F)cc3F)cc2)S1,,,4.47
MLBABPSYKBJENG-BJKOFHAPSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)Cn2cnc3c(O)ncnc32)cc1,,7.17,
MLFVLWOMBNNEOY-LCNNHFSHSA-N,COC(=O)N[C@H](C(=O)NN(CCC[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)Cc1ccc(F)cc1)C(C)(C)C,,8.17,
MLRJDCCBCWNZMV-CQSZACIVSA-N,O=C(NO)c1ccc(CN2C(=O)CNC(=O)[C@H]2Cc2cccs2)cc1,,,6.36
MMBWNRPIMMTKAO-RMKNXTFCSA-N,COc1cc(C(=O)c2csc(-c3ccc(/C=C/C(=O)NO)cc3)n2)cc(OC)c1OC,,,5.57
MMHPCBFDYDBBIL-SOFGYWHQSA-N,O=C(/C=C/c1ccc(Cl)cc1F)NCCCCCC(=O)NO,,,5.79
MMHPCDSCIDJGBZ-UHFFFAOYSA-N,O=C(NO)C(Cc1ccccc1)n1cc2cc(-c3ccncc3)ccc2n1,,,6.43
MMKIXMJBZVVFRQ-UHFFFAOYSA-N,O=C(NO)c1ccc(Cn2cc(CN3CCCC3)c3ccccc32)cc1,,,6.5
MMKKPJNWIWBWEH-UHFFFAOYSA-N,O=C(NO)c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,,,5.79
MMPZSLSWQVQLJD-UHFFFAOYSA-N,COc1c(OCCCCCC(=O)NO)ccc2c1N=C(NC(=O)c1ccccc1)N1CCN=C21,,,6.82
MMWCXKKKWHQVNU-UHFFFAOYSA-N,O=C(NO)c1ccc2c(c1)CC(NS(=O)(=O)c1ccc(Cl)cc1Cl)CC2,,,6.72
MMWFLIBCIOFXBI-BZUAXINKSA-N,O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1cc(Cl)c2c(c1)OCCO2,,,6.08
MMZYGJCCLIZGBV-UHFFFAOYSA-N,CCCCCCNNC(=O)c1cnc(N2CCN(Cc3c[nH]c4ccccc34)CC2)nc1,,,8.23
MNAYBFFSFQRSIT-UHFFFAOYSA-N,O=C(NO)c1ccc(CN2CCCc3cc(Cl)ccc32)cc1,,,5.43
MNBIHFCDKMRWDC-UHFFFAOYSA-N,NC(=O)c1ccc(-c2cc3cnn(C(Cc4ccccc4)C(=O)NO)c3cn2)cc1,,,6.43
MNHOXZBSLMSIDR-WUNLWTINSA-N,CC(C)c1nc(CN(C)C(=O)N[C@@H](CO)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,,7.3,
MNMBNWINDLRVJD-UHFFFAOYSA-N,O=C(CCCC(=O)NCCc1ccccc1)NO,,,5.3
MNTZTXLUYBQSMI-FMIVXFBMSA-N,Cn1c(CCc2ccccc2)nc2cc(/C=C/C(=O)NO)ccc21,,,6.6850000000000005
MNUIECZNQURADN-JAUPIYOJSA-N,CC(C)C[C@H](NC(=O)[C@H](CSCCOCCOCCSC[C@H](NC(=O)Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)NC(=O)Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,,5.6,
MNXUZAOQXFTGTG-GOIXWRCSSA-N,CC(C)CN(C[C@@H](O)[C@H](CSc1ccccc1)NC(=O)O[C@@H]1C[C@@H]2CCO[C@@H]2C1)S(=O)(=O)c1ccc(CO)cc1,,10.54,
MNYTWBQGSPDBNG-UHFFFAOYSA-N,CN1CCN(C(=O)c2ccc(-c3noc(C(F)(F)F)n3)cc2)CC1,,,4.79
MOIOAZADOXUMQW-UHFFFAOYSA-N,COc1ccc(C(=O)NO)cc1C(=O)Nc1cccc(Cl)c1,,,6.55
MONIZEHEBXCGGM-ROUUACIJSA-N,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2,,,6.22
MOWGJAJBYVLPPG-UHFFFAOYSA-N,COc1ccc(C(=O)NO)cc1NC(=O)c1ccc(-c2ccccc2)cc1Cl,,,5.96
MPEGCSAXWPCBMY-UHFFFAOYSA-N,Cc1ccc(-c2nc(C(=O)NO)co2)cc1,,,4.47
MPHCHZFSBARRJN-DHZHZOJOSA-N,COc1cccc(C(=O)c2ccc3c(ccn3S(=O)(=O)c3cccc(/C=C/C(=O)NO)c3)c2)c1,,,5.45
