smiles,pred_InhA,pred_KasA,pred_DprE1,MTRS
O=C(NO)C(Cc1ccccc1)n1ncc2cc(-c3ccccc3)ccc21,7.17266,6.2066503,6.588946,6.6326904
O=C1OC(COc2ccc3ccccc3c2)(c2ccccc2)CC(O)=C1Sc1ccccc1Cl,7.1901317,5.89631,6.961243,6.632332
Nc1ccccc1NC(=O)c1ccc(CNC2=NC[C@H](c3ccccc3)S2)cc1,7.2904925,6.0012083,6.7274375,6.630668
Cc1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1,7.146383,6.3500414,6.4235177,6.621228
COc1ccc(-c2cc(-c3ccsc3)c(C(=O)NCc3ccc(C(=O)NO)cc3)[nH]2)cc1,7.2512755,5.7994046,6.9974246,6.6188936
O=C(NO)c1ccc(CN2c3ccccc3NC(=O)[C@H]2CCc2ccccc2)cc1,7.27163,6.0491066,6.632252,6.6135707
CC(=O)c1cccc(N2C[C@@H](C(=O)N[C@@H](Cc3ccccc3)[C@@H](O)C[C@H](Cc3ccccc3)NC(=O)COc3c(C)cccc3C)OC2=O)c1,7.978058,5.432655,6.924477,6.610389
COc1cccc(C[C@H](NC(=O)c2cccc(N)c2Cl)[C@H](O)C(=O)N2CCC(C)(C)[C@H]2C(=O)NCc2c(C)cccc2C)c1,7.9631906,5.4534106,6.8939376,6.6078672
O=C(/C=C/c1cccc(S(=O)(=O)c2ccc3cccc(F)c3n2)c1)NO,7.219384,5.9707046,6.7544084,6.607175
O=C(NO)c1ccc(NC(=S)N/N=C/c2ccc(F)cc2)cc1,7.0940175,6.333444,6.4394126,6.6057544
O=C(NO)c1ccc(Cn2c(=O)[nH]c(=O)c3cc(Br)ccc32)cc1,7.0433583,5.9721494,6.8905053,6.599951
O=C(Cc1ccc(CCCCc2ccc3[nH]ccc3c2)cc1)NO,7.102268,6.0844827,6.682009,6.5961876
O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,7.2071815,6.343721,6.3114586,6.59589
O=C(/C=C/c1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1)NO,7.3147683,6.1561856,6.423354,6.595873
Cn1cc(CCNCc2ccc(/C=C/C(=O)NO)cc2)c2ccccc21,7.14306,6.131754,6.5867476,6.594834
O=C(NO)c1ccc2c(c1)CC(Nc1nccc(-c3ccc(Cl)cc3)n1)CC2,7.08328,6.2976665,6.453714,6.5946226
O=C(Cc1ccc2c(c1)OCO2)N[C@H](CC[C@H](Cc1ccccc1)NC(=O)[C@@H]1CN(c2ccccc2)C(=O)O1)Cc1ccccc1,7.729551,5.783468,6.546605,6.5929546
[C-]#[N+]c1ccccc1-c1ccc(Cn2cccc(O)c2=S)cc1,7.025023,6.1155715,6.701489,6.592162
N#Cc1cc(CN2C(=O)N(Cc3ccccc3)C(Cc3ccccc3)C(O)C2CCc2ccccc2)ccc1F,7.4113374,5.6201386,7.029412,6.5916777
O=C1N(Cc2ccc3[nH]ncc3c2)C(CCc2ccccc2)C(O)C(Cc2ccccc2)N1Cc1ccc2[nH]ncc2c1,7.2104726,5.946289,6.719975,6.5837216
COc1ccc(C(=O)NO)cc1C(=O)Nc1ccc(Cl)cc1,7.098287,6.373343,6.3326573,6.5833626
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)CN[C@@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,7.722393,5.873504,6.4061947,6.581133
N[C@H](Cc1ccc(Cl)cc1Cl)C(=O)NCCc1ccccc1,7.1625824,6.274261,6.374869,6.580943
COc1ccc(C(=O)NO)cc1NC(=O)c1ccccc1Cl,7.075477,6.3799863,6.335035,6.58002
O=C(NO)c1ccc2c(c1)CC(NC(=O)c1ccc(Cl)c(Cl)c1)CN2,7.384297,6.086099,6.398866,6.5788164
Cc1n[nH]c2ccc(CN3C(=O)NC(CCc4ccccc4)C(O)C3Cc3ccccc3)cc12,7.2951355,6.04964,6.5052323,6.5775175
CC(C)(C)c1ccc(NS(=O)(=O)c2ccc(C(=O)NO)cc2)cc1,7.172319,6.2676167,6.3600116,6.5759535
O=C(CCCCCC(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12)NO,7.1086326,6.1143584,6.5782437,6.5754905
O=C(NO)c1ccc2c(c1)CC(NS(=O)(=O)c1cccc(F)c1)CN2,7.4682107,6.0259843,6.393151,6.5751085
COc1ccc(N(CC(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN(CC(C)C)S(=O)(=O)c2ccc(CO)cc2)CC(=O)N(C)C)cc1,7.7586207,5.700535,6.5794415,6.574628
O=C(NO)c1ccc(C(=O)NCCc2ccccc2)cc1,7.060702,6.359427,6.351916,6.574497
O=C1CC/C=C/CCC(=O)N(Cc2cccc(/C=N/NC(=O)c3cccc(C(=O)NO)c3)c2)C[C@@H](c2ccccc2)O1,7.112003,5.974398,6.7358255,6.572489
O=C(NO)c1ccc(CNCc2cccs2)cc1,7.11184,6.389455,6.2709403,6.5705295
O=C1NC(=O)/C(=C\c2ccc(OCC(=O)N3N=C(c4ccccc4)CC3c3ccc(F)cc3)cc2)S1,7.0405107,6.1766295,6.5492787,6.569952
O=C(NO)c1ccc2c(c1)CC(NS(=O)(=O)c1cccc(Cl)c1)CC2,7.4764247,6.015442,6.3840237,6.5698185
Cc1cc2cc(NS(=O)(=O)Cc3cccc(C(=O)NO)c3)ccc2n(C)c1=O,7.1611543,5.930381,6.7385335,6.569356
O=C(NO)c1sc2ccccc2c1Cl,7.050619,6.4554687,6.2466865,6.5670834
O=C(NO)c1ccc(CN(C2CC2)S(=O)(=O)c2c(F)c(F)cc(F)c2F)cc1,7.81174,5.5004487,6.7954946,6.564952
N[C@H](Cc1ccc(Cl)cc1Cl)C(=O)NC1Cc2ccccc2C1,7.3889437,6.146458,6.2872024,6.5633173
Cc1ccc(S(=O)(=O)N[C@@H](Cc2ccc(OCCc3ccccc3)cc2)C(=O)NO)cc1,7.175678,6.2005095,6.3879476,6.561945
O=C1Nc2ccccc2/C1=N/NC(=S)Nc1ccc(C(=O)NO)cc1,7.0268097,6.3557277,6.345486,6.561065
Cc1cc2cc(NS(=O)(=O)c3ccc(C(=O)NO)cc3)ccc2n(C)c1=O,7.1966376,5.902496,6.7118006,6.559314
O=C1c2cccc([N+](=O)[O-])c2C(=O)N1c1ccc2[nH]c(=S)sc2c1,6.970735,5.9733605,6.81851,6.5569983
Cc1nc2cccc(/C=C/C(=O)NO)c2c(=O)n1-c1ccccc1,6.9103527,6.14092,6.665746,6.556328
